============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 5.4, S_EE = 1.2562, F = 0.2885, χ = 990 / 1500, step_time = 59.6129 s, elapsed_time = 2771.2478 s, estimated_remaining_time = 2339.0348 s
t = 5.45, S_EE = 1.2576, F = 0.2885, χ = 1013 / 1500, step_time = 62.6129 s, elapsed_time = 2898.9567 s, estimated_remaining_time = 2398.2278 s
t = 5.5, S_EE = 1.259, F = 0.2885, χ = 1037 / 1500, step_time = 65.5094 s, elapsed_time = 3032.6785 s, estimated_remaining_time = 2458.9285 s
t = 5.55, S_EE = 1.2604, F = 0.2884, χ = 1061 / 1500, step_time = 75.0788 s, elapsed_time = 3181.2286 s, estimated_remaining_time = 2527.9406 s
t = 5.6, S_EE = 1.2618, F = 0.2884, χ = 1086 / 1500, step_time = 85.9452 s, elapsed_time = 3345.291 s, estimated_remaining_time = 2605.1824 s
t = 5.65, S_EE = 1.2631, F = 0.2884, χ = 1111 / 1500, step_time = 76.9721 s, elapsed_time = 3500.6604 s, estimated_remaining_time = 2671.5566 s
t = 5.7, S_EE = 1.2645, F = 0.2884, χ = 1137 / 1500, step_time = 79.8613 s, elapsed_time = 3663.3778 s, estimated_remaining_time = 2739.5695 s
t = 5.75, S_EE = 1.2659, F = 0.2884, χ = 1164 / 1500, step_time = 83.6884 s, elapsed_time = 3835.0111 s, estimated_remaining_time = 2810.1374 s
t = 5.8, S_EE = 1.2673, F = 0.2883, χ = 1192 / 1500, step_time = 93.7921 s, elapsed_time = 4024.2498 s, estimated_remaining_time = 2889.205 s
t = 5.85, S_EE = 1.2687, F = 0.2883, χ = 1220 / 1500, step_time = 91.1157 s, elapsed_time = 4213.9828 s, estimated_remaining_time = 2964.0726 s
t = 5.9, S_EE = 1.2701, F = 0.2883, χ = 1249 / 1500, step_time = 95.5636 s, elapsed_time = 4412.8187 s, estimated_remaining_time = 3040.7658 s
t = 5.95, S_EE = 1.2715, F = 0.2883, χ = 1279 / 1500, step_time = 111.1383 s, elapsed_time = 4638.0503 s, estimated_remaining_time = 3130.684 s
t = 6.0, S_EE = 1.2729, F = 0.2883, χ = 1310 / 1500, step_time = 110.1165 s, elapsed_time = 4864.8716 s, estimated_remaining_time = 3216.444 s
t = 6.05, S_EE = 1.2743, F = 0.2883, χ = 1341 / 1500, step_time = 111.5779 s, elapsed_time = 5101.2686 s, estimated_remaining_time = 3303.2805 s
t = 6.1, S_EE = 1.2757, F = 0.2883, χ = 1372 / 1500, step_time = 116.4781 s, elapsed_time = 5349.0909 s, estimated_remaining_time = 3392.1064 s
t = 6.15, S_EE = 1.2771, F = 0.2883, χ = 1404 / 1500, step_time = 122.7991 s, elapsed_time = 5605.2489 s, estimated_remaining_time = 3480.6788 s
t = 6.2, S_EE = 1.2786, F = 0.2882, χ = 1436 / 1500, step_time = 131.1185 s, elapsed_time = 5880.2988 s, estimated_remaining_time = 3575.2217 s
